,section,issue,date_published,authors,name,is_highlighted,prb_citations
10.1103/PhysRevB.99.054101,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/5, 5 February 2019,"Michal Stekiel, Adrien Girard, Tra Nguyen-Thanh, Alexei Bosak, Victor Milman, and Bjoern Winkler","Phonon-driven phase transitions in calcite, dolomite, and magnesite",False,7
10.1103/PhysRevB.99.054102,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/5, 6 February 2019,Chris J. Pickard,Hyperspatial optimization of structures,True,13
10.1103/PhysRevB.99.054103,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/5, 7 February 2019,"Wen Wang, Jian Shen, and Q.-C. He",Microscale superlubricity of graphite under various twist angles,False,19
10.1103/PhysRevB.99.054104,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/5,11 February 2019,"V. B. Eltsov, A. Gordeev, and M. Krusius",Kelvin-Helmholtz instability of AB interface in superfluid He3,False,3
10.1103/PhysRevB.99.054105,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/5,21 February 2019,"Xiaoying Zhuang, Bo He, Brahmanandam Javvaji, and Harold S. Park",Intrinsic bending flexoelectric constants in two-dimensional materials,False,58
10.1103/PhysRevB.99.054106,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/5,26 February 2019,"Xueyun Wang, Danni Yang, Hui-Min Zhang, Chuangye Song, Jing Wang, Guotai Tan, Renkui Zheng, Shuai Dong, Sang-Wook Cheong, and Jinxing Zhang",Anisotropic resistance switching in hexagonal manganites,False,13
10.1103/PhysRevB.99.054107,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/5,28 February 2019,"S. A. Fedorov, N. J. Engelsen, A. H. Ghadimi, M. J. Bereyhi, R. Schilling, D. J. Wilson, and T. J. Kippenberg",Generalized dissipation dilution in strained mechanical resonators,False,35
10.1103/PhysRevB.99.054201,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5, 1 February 2019,"K. Kudo, S. Yamada, J. Chikada, Y. Shimanuki, T. Ishibe, S. Abo, H. Miyazaki, Y. Nishino, Y. Nakamura, and K. Hamaya",Significant reduction in the thermal conductivity of Si-substituted Fe2VAl epilayers,False,14
10.1103/PhysRevB.99.054202,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5, 1 February 2019,Antonio M. García-García and Masaki Tezuka,Many-body localization in a finite-range Sachdev-Ye-Kitaev model and holography,False,14
10.1103/PhysRevB.99.054203,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5, 6 February 2019,"Anuradha Jagannathan, Piyush Jeena, and Marco Tarzia",Nonmonotonic crossover and scaling behavior in a disordered one-dimensional quasicrystal,False,10
10.1103/PhysRevB.99.054204,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5, 7 February 2019,Giuseppe De Tomasi,Algebraic many-body localization and its implications on information propagation,False,30
10.1103/PhysRevB.99.054205,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5,13 February 2019,Jonathon Riddell and Erik S. Sørensen,Out-of-time ordered correlators and entanglement growth in the random-field XX spin chain,False,24
10.1103/PhysRevB.99.054206,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5,19 February 2019,"S. E. Han, S. Atiganyanun, S. H. Lee, S. Cheek, and S. M. Han",Determination of internal reflectance for photonic glasses,False,7
10.1103/PhysRevB.99.054207,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5,19 February 2019,Alexander Held and Michael Moseler,Ab initio thermodynamics study of ambient gases reacting with amorphous carbon,False,2
10.1103/PhysRevB.99.054208,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5,20 February 2019,"Wei Zhang, Lei Wang, and Ziqiang Wang",Interpretable machine learning study of the many-body localization transition in disordered quantum Ising spin chains,False,20
10.1103/PhysRevB.99.054209,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5,20 February 2019,"Dimitrios Kilymis, Simona Ispas, Bernard Hehlen, Sylvain Peuget, and Jean-Marc Delaye",Vibrational properties of sodosilicate glasses from first-principles calculations,False,17
10.1103/PhysRevB.99.054210,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5,26 February 2019,Marc A. Galí and Matthew D. Arnold,Recurrent approach to effective material properties with application to anisotropic binarized random fields,False,2
10.1103/PhysRevB.99.054211,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/5,27 February 2019,M. Rossignolo and L. Dell'Anna,Localization transitions and mobility edges in coupled Aubry-André chains,False,50
10.1103/PhysRevB.99.054301,sect-articles-dynamics-dynamical-systems-lattice-effects,99/5, 4 February 2019,"Sven Nordebo, Gerhard Kristensson, Mohammad Mirmoosa, and Sergei Tretyakov",Optimal plasmonic multipole resonances of a sphere in lossy media,False,9
10.1103/PhysRevB.99.054302,sect-articles-dynamics-dynamical-systems-lattice-effects,99/5,11 February 2019,"R. Jafari, Henrik Johannesson, A. Langari, and M. A. Martin-Delgado",Quench dynamics and zero-energy modes: The case of the Creutz model,False,49
10.1103/PhysRevB.99.054303,sect-articles-dynamics-dynamical-systems-lattice-effects,99/5,11 February 2019,"Ke Xu, Alexander J. Gabourie, Arsalan Hashemi, Zheyong Fan, Ning Wei, Amir Barati Farimani, Hannu-Pekka Komsa, Arkady V. Krasheninnikov, Eric Pop, and Tapio Ala-Nissila",Thermal transport in MoS2 from molecular dynamics using different empirical potentials,False,42
10.1103/PhysRevB.99.054304,sect-articles-dynamics-dynamical-systems-lattice-effects,99/5,12 February 2019,S. D. Sawtelle and M. A. Reed,Temperature-dependent thermal conductivity and suppressed Lorenz number in ultrathin gold nanowires,False,11
10.1103/PhysRevB.99.054305,sect-articles-dynamics-dynamical-systems-lattice-effects,99/5,13 February 2019,"Rabindranath Bag, Soumitra Hazra, Rajeev N. Kini, and Surjeet Singh",Excess specific heat from the gapped sliding phonon modes in the incommensurate composite crystal Sr14Cu24O41,False,3
