,section,issue,date_published,authors,name,is_highlighted,prb_citations
10.1103/PhysRevB.99.014101,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/1,2019-01-02,"Kevin Co, Fu-Chang Sun, S. Pamir Alpay, and Sanjeev K. Nayak",Polarization rotation in Bi4Ti3O12 by isovalent doping at the fluorite sublattice,False,16
10.1103/PhysRevB.99.014102,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/1,2019-01-07,"Jefferson Maul, Matthew R. Ryder, Michael T. Ruggiero, and Alessandro Erba",Pressure-driven mechanical anisotropy and destabilization in zeolitic imidazolate frameworks,False,24
10.1103/PhysRevB.99.014103,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/1,2019-01-08,"Jianfeng Chen, Wenyao Liang, and Zhi-Yuan Li",Strong coupling of topological edge states enabling group-dispersionless slow light in magneto-optical photonic crystals,False,30
10.1103/PhysRevB.99.014104,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/1,2019-01-08,Ralf Drautz,Atomic cluster expansion for accurate and transferable interatomic potentials,False,174
10.1103/PhysRevB.99.014105,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/1,2019-01-09,"Greg Stone, Danilo Puggioni, Shiming Lei, Mingqiang Gu, Ke Wang, Yu Wang, Jianjian Ge, Xue-Zeng Lu, Zhiqiang Mao, James M. Rondinelli, and Venkatraman Gopalan",Atomic and electronic structure of domains walls in a polar metal,False,17
10.1103/PhysRevB.99.014106,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/1,2019-01-09,"Iksu Jang, Ganbat Duvjir, Byoung Ki Choi, Jungdae Kim, Young Jun Chang, and Ki-Seok Kim",Universal renormalization group flow toward perfect Fermi-surface nesting driven by enhanced electron-electron correlations in monolayer vanadium diselenide,False,8
10.1103/PhysRevB.99.014107,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/1,2019-01-14,"Cristian L. Cortes, Matthew Otten, and Stephen K. Gray",Ground-state cooling enabled by critical coupling and dark entangled states,False,6
10.1103/PhysRevB.99.014108,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/1,2019-01-15,"F. Berthier, J. Creuze, T. Gabard, B. Legrand, M.-C. Marinica, and C. Mottet",Order-disorder or phase-separation transition: Analysis of the Au-Pd system by the effective site energy model,False,8
10.1103/PhysRevB.99.014109,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/1,2019-01-16,Jason Howard and N. A. W. Holzwarth,First-principles estimation of partition functions representing disordered lattices such as the cubic phases of Li2OHCl and Li2OHBr,False,9
10.1103/PhysRevB.99.014110,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/1,2019-01-23,"Adib J. Samin, David A. Andersson, Edward F. Holby, and Blas P. Uberuaga",First-principles localized cluster expansion study of the kinetics of hydrogen diffusion in homogeneous and heterogeneous Fe-Cr alloys,False,12
10.1103/PhysRevB.99.014111,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/1,2019-01-23,Michael Hutcheon and Richard Needs,Structural and vibrational properties of lithium under ambient conditions within density functional theory,False,14
10.1103/PhysRevB.99.014112,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/1,2019-01-25,"Eugene A. Eliseev, Anna N. Morozovska, Christopher T. Nelson, and Sergei V. Kalinin",Intrinsic structural instabilities of domain walls driven by gradient coupling: Meandering antiferrodistortive-ferroelectric domain walls in BiFeO3,False,21
10.1103/PhysRevB.99.014113,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/1,2019-01-25,"Yi-Feng Zheng, Shiyou Chen, Ji-Hui Yang, and Xin-Gao Gong",Polaron-enhanced giant strain effect on defect formation: The case of oxygen vacancies in rutile TiO2,False,8
10.1103/PhysRevB.99.014114,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/1,2019-01-29,"Weiyang Wang, B. Van Duppen, and F. M. Peeters",Intense-terahertz-laser-modulated magnetopolaron effect on shallow-donor states in the presence of magnetic field in the Voigt configuration,False,2
10.1103/PhysRevB.99.014115,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/1,2019-01-31,"Dan Wei, Jie Yang, Min-Qiang Jiang, Bing-Chen Wei, Yun-Jiang Wang, and Lan-Hong Dai",Revisiting the structure–property relationship of metallic glasses: Common spatial correlation revealed as a hidden rule,False,36
10.1103/PhysRevB.99.014201,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/1,2019-01-02,"Taras Bryk, Taras Demchuk, and Noël Jakse",Atomistic structure and collective dynamics in liquid Pb along the melting line up to 70 GPa: A first-principles molecular dynamics study,False,11
10.1103/PhysRevB.99.014202,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/1,2019-01-04,David Mora-Fonz and Alexander L. Shluger,Making amorphous ZnO: Theoretical predictions of its structure and stability,False,17
10.1103/PhysRevB.99.014203,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/1,2019-01-07,"M. V. Romitti, F. M. Zimmer, C. V. Morais, and S. G. Magalhaes",Specific heat and nonlinear susceptibility in spin glasses with random fields,False,2
10.1103/PhysRevB.99.014204,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/1,2019-01-07,"Elaheh Adibi, Alireza Habibi, and S. A. Jafari",Phase transitions in the binary-alloy Hubbard model: Insights from strong-coupling perturbation theory,False,3
10.1103/PhysRevB.99.014205,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/1,2019-01-17,Seulong Kim and Kihong Kim,Anderson localization and delocalization of massless two-dimensional Dirac electrons in random one-dimensional scalar and vector potentials,False,9
10.1103/PhysRevB.99.014206,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/1,2019-01-18,"B. Schönfeld, C. R. Sax, J. Zemp, M. Engelke, P. Boesecke, T. Kresse, T. Boll, T. Al-Kassab, O. E. Peil, and A. V. Ruban",Local order in Cr-Fe-Co-Ni: Experiment and electronic structure calculations,False,31
10.1103/PhysRevB.99.014207,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/1,2019-01-22,"Vitaly S. Proshchenko, Pratik P. Dholabhai, Tyler C. Sterling, and Sanghamitra Neogi",Heat and charge transport in bulk semiconductors with interstitial defects,False,9
